start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
135.524919	34.652028	135.524919	34.652028	1965042	1973806
135.524919	34.652028	135.807222	34.501944	1973806	1973808
135.807222	34.501944	135.807222	34.501944	1973808	1975633
135.807222	34.501944	135.807222	34.501944	1975633	1975634
135.807222	34.501944	135.807222	34.501944	1975634	1980012
135.807222	34.501944	133.956428	34.6921	1980012	1980017
133.956428	34.6921	133.956428	34.6921	1980017	1981841
133.956428	34.6921	133.996656	35.07525	1981841	1981843
133.996656	35.07525	133.996656	35.07525	1981843	1982568
133.996656	35.07525	135.807222	34.501944	1982568	1982573
135.807222	34.501944	135.807222	34.501944	1982573	1984761
135.807222	34.501944	134.695822	34.834681	1984761	1984765
134.695822	34.834681	134.695822	34.834681	1984765	1985491
134.695822	34.834681	135.807222	34.501944	1985491	1985495
135.807222	34.501944	135.807222	34.501944	1985495	1989877
135.807222	34.501944	135.807222	34.501944	1989877	1989878
135.807222	34.501944	135.807222	34.501944	1989878	1990608
135.807222	34.501944	135.807222	34.501944	1990608	1990609
135.807222	34.501944	135.807222	34.501944	1990609	1998278
135.807222	34.501944	135.807222	34.501944	1998278	1998279
135.807222	34.501944	135.807222	34.501944	1998279	1998309
