start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
135.807222	34.501944	135.807222	34.501944	1989878	1991807
135.807222	34.501944	135.523278	34.680652	1991807	1991809
135.523278	34.680652	135.523278	34.680652	1991809	1992079
135.523278	34.680652	135.807222	34.501944	1992079	1992081
135.807222	34.501944	135.807222	34.501944	1992081	1993280
135.807222	34.501944	135.510056	34.705417	1993280	1993282
135.510056	34.705417	135.510056	34.705417	1993282	1993473
135.510056	34.705417	133.04853	35.46811	1993473	1993480
133.04853	35.46811	133.04853	35.46811	1993480	1993826
133.04853	35.46811	136.799947	35.254794	1993826	1993836
136.799947	35.254794	136.799947	35.254794	1993836	1993892
136.799947	35.254794	135.807222	34.501944	1993892	1993896
135.807222	34.501944	135.807222	34.501944	1993896	1993926
