start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
-92.05	17.48333	-92.05	17.48333	1913104	1930470
-92.05	17.48333	-92.05	17.48333	1930470	1930471
-92.05	17.48333	-92.05	17.48333	1930471	1931080
-92.05	17.48333	-92.05	17.48333	1931080	1931081
-92.05	17.48333	-92.05	17.48333	1931081	1932534
-92.05	17.48333	-92.05	17.48333	1932534	1932535
-92.05	17.48333	-92.05	17.48333	1932535	1932746
-92.05	17.48333	-92.00968	16.90122	1932746	1932748
-92.00968	16.90122	-92.00968	16.90122	1932748	1934421
-92.00968	16.90122	-92.05	17.48333	1934421	1934423
-92.05	17.48333	-92.05	17.48333	1934423	1934453
