en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
John of Biclaro	-8.686111	39.233889	-8.686111	39.233889	1918656	1929524
John of Biclaro	-8.686111	39.233889	28.98	41.0125	1929524	1929613
John of Biclaro	28.98	41.0125	28.98	41.0125	1929613	1932169
John of Biclaro	28.98	41.0125	28.98	41.0125	1932169	1932170
John of Biclaro	28.98	41.0125	28.98	41.0125	1932170	1933203
John of Biclaro	28.98	41.0125	2.154007	41.390205	1933203	1933266
John of Biclaro	2.154007	41.390205	2.154007	41.390205	1933266	1935454
John of Biclaro	2.154007	41.390205	1.252778	41.1175	1935454	1935457
John of Biclaro	1.252778	41.1175	1.252778	41.1175	1935457	1936913
John of Biclaro	1.252778	41.1175	2.821111	41.984444	1936913	1936918
John of Biclaro	2.821111	41.984444	2.821111	41.984444	1936918	1937639
John of Biclaro	2.821111	41.984444	-0.88	41.65	1937639	1937649
John of Biclaro	-0.88	41.65	-0.88	41.65	1937649	1940197
John of Biclaro	-0.88	41.65	2.154007	41.390205	1940197	1940205
John of Biclaro	2.154007	41.390205	2.154007	41.390205	1940205	1945682
John of Biclaro	2.154007	41.390205	2	41.5667	1945682	1945684
John of Biclaro	2	41.5667	2	41.5667	1945684	1947872
John of Biclaro	2	41.5667	2.821111	41.984444	1947872	1947875
John of Biclaro	2.821111	41.984444	2.821111	41.984444	1947875	1947905
