start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
34.823914	36.813683	34.823914	36.813683	1941301	1945680
34.823914	36.813683	36.181667	36.204722	1945680	1945684
36.181667	36.204722	36.181667	36.204722	1945684	1945876
36.181667	36.204722	28.98	41.008333	1945876	1945897
28.98	41.008333	28.98	41.008333	1945897	1954066
28.98	41.008333	34.823914	36.813683	1954066	1954084
34.823914	36.813683	34.823914	36.813683	1954084	1962431
34.823914	36.813683	12.496366	41.902782	1962431	1962485
12.496366	41.902782	12.496366	41.902782	1962485	1965523
12.496366	41.902782	12.496366	41.902782	1965523	1965524
12.496366	41.902782	12.496366	41.902782	1965524	1965693
12.496366	41.902782	5.37	43.296398	1965693	1965711
5.37	43.296398	5.37	43.296398	1965711	1965739
5.37	43.296398	4.627778	43.676667	1965739	1965742
4.627778	43.676667	4.627778	43.676667	1965742	1965753
4.627778	43.676667	1.6333	50.6833	1965753	1965772
1.6333	50.6833	1.6333	50.6833	1965772	1965948
1.6333	50.6833	1.08	51.279999	1965948	1965951
1.08	51.279999	1.08	51.279999	1965951	1965771
1.08	51.279999	1.08	51.279999	1965771	1965772
1.08	51.279999	1.08	51.279999	1965772	1966864
1.08	51.279999	-0.17164	51.90919	1966864	1966868
-0.17164	51.90919	-0.17164	51.90919	1966868	1969424
-0.17164	51.90919	-0.21073	51.76121	1969424	1969425
-0.21073	51.76121	-0.21073	51.76121	1969425	1971250
-0.21073	51.76121	-0.21073	51.76121	1971250	1971251
-0.21073	51.76121	-0.21073	51.76121	1971251	1973731
-0.21073	51.76121	1.08	51.279999	1973731	1973735
1.08	51.279999	1.08	51.279999	1973735	1973734
1.08	51.279999	1.087083	51.278889	1973734	1973735
1.087083	51.278889	1.087083	51.278889	1973735	1973765
