en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
Wak Chan K'awiil	-89.622778	17.221944	-89.622778	17.221944	1906999	1917951
Wak Chan K'awiil	-89.622778	17.221944	-89.622778	17.221944	1917951	1917952
Wak Chan K'awiil	-89.622778	17.221944	-89.622778	17.221944	1917952	1923401
Wak Chan K'awiil	-89.622778	17.221944	-89.117813	16.763082	1923401	1923404
Wak Chan K'awiil	-89.117813	16.763082	-89.117813	16.763082	1923404	1924499
Wak Chan K'awiil	-89.117813	16.763082	-89.117813	16.763082	1924499	1924500
Wak Chan K'awiil	-89.117813	16.763082	-89.117813	16.763082	1924500	1926690
Wak Chan K'awiil	-89.117813	16.763082	-89.117813	16.763082	1926690	1926691
Wak Chan K'awiil	-89.117813	16.763082	-89.117813	16.763082	1926691	1926901
Wak Chan K'awiil	-89.117813	16.763082	-89.622778	17.221944	1926901	1926904
Wak Chan K'awiil	-89.622778	17.221944	-89.622778	17.221944	1926904	1926934
