en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
Ansprand	9.15	45.183334	9.15	45.183334	1961389	1977092
Ansprand	9.15	45.183334	8.206944	44.900002	1977092	1977095
Ansprand	8.206944	44.900002	8.206944	44.900002	1977095	1977822
Ansprand	8.206944	44.900002	8.62	45.45	1977822	1977825
Ansprand	8.62	45.45	8.62	45.45	1977825	1979274
Ansprand	8.62	45.45	12.05	49.01	1979274	1979286
Ansprand	12.05	49.01	12.05	49.01	1979286	1981100
Ansprand	12.05	49.01	9.15	45.183334	1981100	1981112
Ansprand	9.15	45.183334	9.15	45.183334	1981112	1981568
Ansprand	9.15	45.183334	9.15	45.183334	1981568	1981569
Ansprand	9.15	45.183334	9.15	45.183334	1981569	1981674
Ansprand	9.15	45.183334	9.15	45.183334	1981674	1981675
Ansprand	9.15	45.183334	9.15	45.183334	1981675	1981705
