start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
-4.125	52.95	-4.125	52.95	1918656	1940204
-4.125	52.95	-4.125	52.95	1940204	1940205
-4.125	52.95	-4.125	52.95	1940205	1942760
-4.125	52.95	-4.12743	53.22651	1942760	1942762
-4.12743	53.22651	-4.12743	53.22651	1942762	1945315
-4.12743	53.22651	-2.89	53.189999	1945315	1945319
-2.89	53.189999	-2.89	53.189999	1945319	1945680
-2.89	53.189999	-4.125	52.95	1945680	1945684
-4.125	52.95	-4.125	52.95	1945684	1946413
-4.125	52.95	-4.125	52.95	1946413	1946414
-4.125	52.95	-4.125	52.95	1946414	1946444
